Date,gross_return,net_return,turnover,costs,equity
2020-12-31,-0.025982681391714557,-0.025982681391714557,1.0,0.0,2.0101480272502705
2021-01-31,-0.06250906722118468,-0.06250906722118468,0.5,0.0,1.8844955490903517
2021-02-28,-0.21533268188449692,-0.21533268188449692,0.5,0.0,1.4787020685053285
2021-03-31,-0.08113994451875267,-0.08113994451875267,2.5,0.0,1.3587202647070413
2021-04-30,0.02171981470260867,0.02171981470260867,1.0,0.0,1.3882314170891579
2021-05-31,0.022215711454937975,0.022215711454937975,1.0,0.0,1.4190719656838902
2021-06-30,0.04155230358722459,0.04155230358722459,1.5,0.0,1.4780376748141066
2021-07-31,-0.06462697718108087,-0.06462697718108087,1.5,0.0,1.3825165677311175
2021-08-31,0.06291405537965852,0.06291405537965852,2.0,0.0,1.4694962916366485
2021-09-30,-0.02101950661146529,-0.02101950661146529,1.5,0.0,1.4386082046190682
2021-10-31,0.026788227908321194,0.026788227908321194,2.0,0.0,1.4771459690751845
2021-11-30,-0.1415842756696485,-0.1415842756696485,1.5,0.0,1.2680053269853335
2021-12-31,-0.0668462820885666,-0.0668462820885666,2.0,0.0,1.1832438852078668
2022-01-31,-0.07615174574712799,-0.07615174574712799,2.5,0.0,1.0931377977046735
2022-02-28,-0.03905839980373904,-0.03905839980373904,1.5,0.0,1.0504415845613455
2022-03-31,0.0996405704398805,0.0996405704398805,1.0,0.0,1.15510818326081
2022-04-30,-0.02110728732793446,-0.02110728732793446,1.5,0.0,1.1307269829418758
2022-05-31,-0.022998880145789685,-0.022998880145789685,1.5,0.0,1.1047215285835852
2022-06-30,0.04089097959482088,0.04089097959482088,1.0,0.0,1.1498946740668559
2022-07-31,-0.09478560244809944,-0.09478560244809944,1.0,0.0,1.040901214633568
2022-08-31,0.002806777502901009,0.002806777502901009,1.0,0.0,1.043822792745544
2022-09-30,0.14101729265535712,0.14101729265535712,0.0,0.0,1.1910198569904744
2022-10-31,0.05674174651296521,0.05674174651296521,1.0,0.0,1.2586004038077359
2022-11-30,-0.1144681648450149,-0.1144681648450149,1.0,0.0,1.1145307253106698
2022-12-31,0.05658902023417722,0.05658902023417722,1.0,0.0,1.1776009270768875
2023-01-31,-0.21600204939774983,-0.21600204939774983,0.5,0.0,0.9232367134555897
2023-02-28,-0.010804531582920024,-0.010804531582920024,0.5,0.0,0.9132615732265474
2023-03-31,-0.13366793340722785,-0.13366793340722785,1.5,0.0,0.7911877860731212
2023-04-30,0.09261204804418643,0.09261204804418643,2.0,0.0,0.8644613073288986
2023-05-31,0.05295672613592628,0.05295672613592628,1.0,0.0,0.9102403480362199
2023-06-30,0.0669530218180644,0.0669530218180644,1.5,0.0,0.9711836899179715
2023-07-31,-0.014615107069258504,-0.014615107069258504,1.5,0.0,0.9569897363059029
2023-08-31,0.1583403970307394,0.1583403970307394,0.5,0.0,1.1085198711069222
2023-09-30,-0.07196419984920438,-0.07196419984920438,0.5,0.0,1.0287461255657693
2023-10-31,0.005378124551361135,0.005378124551361135,1.0,0.0,1.0342788503607923
2023-11-30,0.06532394784124274,0.06532394784124274,1.5,0.0,1.101842028035061
2023-12-31,0.018837486837996298,0.018837486837996298,2.0,0.0,1.1225979627357225
2024-01-31,0.12783448278225987,0.12783448278225987,2.5,0.0,1.2661046926744624
2024-02-29,0.0789057070503062,0.0789057070503062,1.0,0.0,1.3660075786496513
2024-03-31,0.03571872195532694,0.03571872195532694,0.5,0.0,1.4147996235403077
2024-04-30,-0.022770316526300377,-0.022770316526300377,0.5,0.0,1.3825841882910044
2024-05-31,0.07381824734566028,0.07381824734566028,1.0,0.0,1.4846441298784687
2024-06-30,0.1662964393086198,0.1662964393086198,0.5,0.0,1.731535162317702
2024-07-31,-0.08735141041141664,-0.08735141041141664,1.0,0.0,1.5802831237122896
2024-08-31,0.13282647439226625,0.13282647439226625,1.0,0.0,1.7901865595765907
2024-09-30,-0.04872347665765972,-0.04872347665765972,1.0,0.0,1.7029624465282045
2024-10-31,0.054103549075549956,0.054103549075549956,2.0,0.0,1.7950987588277618
2024-11-30,-0.02725334829171619,-0.02725334829171619,1.5,0.0,1.7461763071354013
2024-12-31,0.18427895320467913,0.18427895320467913,1.0,0.0,2.0679598491251254
2025-01-31,0.06237439720177393,0.06237439720177393,1.0,0.0,2.1969475981517763
2025-02-28,-0.04880611333979826,-0.04880611333979826,0.0,0.0,2.089723124674783
2025-03-31,-0.05480372768967018,-0.05480372768967018,2.0,0.0,1.9751985076032996
2025-04-30,0.15430549784695832,0.15430549784695832,1.5,0.0,2.2799824966655957
2025-05-31,0.032335762785638406,0.032335762785638406,1.0,0.0,2.353707469833182
2025-06-30,-0.0993510612818986,-0.0993510612818986,1.0,0.0,2.119864134758123
2025-07-31,0.02861853656466143,0.02861853656466143,1.5,0.0,2.1805315440108126
2025-08-31,-0.11466394522409609,-0.11466394522409609,1.0,0.0,1.9305031944889433
2025-09-30,0.0858349432721924,0.0858349432721924,1.0,0.0,2.096207826674688
2025-10-31,0.0024413894340425957,0.0024413894340425957,0.5,0.0,2.1013254863142885
2025-11-30,-0.009195946142181527,-0.009195946142181527,1.0,0.0,2.082001810314949
2025-12-31,-0.11876700393675599,-0.11876700393675599,0.5,0.0,1.8347286931129403
